trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-54.68567673368675,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 1.0}",20,0,-115.23630137842798,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 1.0}",20,0,-63.011533289877256,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 1.0}",20,0,-122.36478152773832,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 1.0}",20,0,-159.68911442080508,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 1.0}",30,0,-226.03689504591304,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 1.0}",20,0,-154.20425867887425,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 1.0}",30,0,-134.8637166978213,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 1.0}",25,0,-124.10382703551457,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 1.0}",25,0,-116.8825057238622,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 1.0}",20,0,-86.32292899534826,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 1.0}",20,0,-54.11446304322865,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.01, 'e': 1.0}",20,0,-63.07338780499653,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 1.0}",25,0,-170.38952687112024,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 1.0}",30,15,-56.54377363413857,"{0: 7, 1: 5, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.01, 'e': 1.0}",25,0,-159.27322956861553,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 1.0}",25,0,-180.12123795300022,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 1.0}",35,12,-82.52942221660723,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.01, 'e': 1.0}",25,0,-139.6379599764873,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 1.0}",25,0,-192.04041853214906,"{0: 8, 1: 6, 2: 7, 3: 3, 4: 1}",0
1,True,"{'a': 0.01, 'e': 1.0}",25,0,-174.8753665727589,"{0: 11, 1: 7, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0.01, 'e': 1.0}",20,0,-121.67050240303392,"{0: 8, 1: 3, 2: 6, 3: 3, 4: 0}",0
3,True,"{'a': 0.01, 'e': 1.0}",25,0,-214.69077674029808,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,True,"{'a': 0.01, 'e': 1.0}",20,7,-83.17367773107537,"{0: 5, 1: 0, 2: 7, 3: 1, 4: 0}",1
5,True,"{'a': 0.01, 'e': 1.0}",20,8,-14.240621275047328,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.01, 'e': 1.0}",25,0,-45.23249039697001,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0.01, 'e': 1.0}",25,10,-13.201439060330522,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.01, 'e': 1.0}",25,0,-140.16592961032364,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0.01, 'e': 1.0}",20,0,-33.4014288507864,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.01, 'e': 1.0}",25,0,-141.87949419790965,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
